1,Destination,Route,Towards,Notes,Ruefa
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:36
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,14:43
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,14:54
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,14:58
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:06
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:09
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:13
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:24
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:28
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3010,15:36
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:39
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:43
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:54
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:58
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3011,16:06
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:09
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:13
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:24
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:28
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3012,16:36
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:39
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:43
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:54
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:58
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3013,17:06
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:09
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,17:13
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:24
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,17:28
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3014,17:36
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:39
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:06
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:36
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,19:36
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,20:06
From,Serneus,231,Serneus:Dorf,No,20:36
