1,Destination,Route,Towards,Notes,Gotschnastrasse
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,13:26
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:34
From,Oberselfranga,234,Oberselfranga,No,13:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,13:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,13:41
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,14:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,14:11
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:34
From,Oberselfranga,234,Oberselfranga,No,14:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,14:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,14:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,14:56
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,15:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:11
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:26
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3010,15:34
From,Oberselfranga,234,Oberselfranga,No,15:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,15:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:56
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:01
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3011,16:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,16:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:11
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:26
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3012,16:34
From,Oberselfranga,234,Oberselfranga,No,16:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,16:34
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:56
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3013,17:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,17:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,17:11
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,17:26
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3014,17:34
From,Oberselfranga,234,Oberselfranga,No,17:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,17:34
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,18:04
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:34
From,Oberselfranga,234,Oberselfranga,No,18:34
From,Aeuja Post:Via Sportzentrum (for skilift Selfranga),232,Sportzentrum (for skilift Selfranga):Aeuja Post,No,18:47
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,19:04
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,19:34
From,Oberselfranga,234,Oberselfranga,No,19:34
From,Aeuja Post:Via Sportzentrum (for skilift Selfranga),232,Sportzentrum (for skilift Selfranga):Aeuja Post,No,19:47
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,20:04
From,Serneus:Dorf,231,Serneus:Dorf,No,20:34
